numero;estacion;direccion;longitud;latitud;altitud;tipo_estacion;no2;so2;co;pm10;pm2.5;o3;btx;hc;uv;vv;dv;tmp;hr;prb;rs;ll;
4;Pza. de España;Plaza de España;-3.7122472;40.4238528;635;UT;x;x;x;;;;;;;x;x;x;x;;;x;
8;Escuelas Aguirre;Entre C/ Alcalá y C/ O’ Donell;-3.6814861;40.4215639;670;UT;x;x;x;x;x;x;x;x;;;;;;;;
11;Avda. Ramón y Cajal;Avda. Ramón y Cajal  esq. C/ Príncipe de Vergara;-3.6773555;40.451475;708;UT;x;;;;;;x;;;;;;;;;x;
16;Arturo Soria;C/ Arturo Soria  esq. C/  Vizconde de los Asilos;-3.6392333;40.4400472;693;UF;x;;x;;;x;;;;;;;;;;x;
17;Villaverde;C/ Juan Peñalver;-3.7133222;40.3471389;604;UF;x;x;;;;x;;;;;;;;;;
18;Farolillo;Calle Farolillo - C/Ervigio;-3.7318527;40.3947806;630;UF;x;x;x;x;;x;x;;;;;x;;;;x;
24;Casa de Campo;Casa de Campo (Terminal del Teleférico);-3.74734722;40.4192444;642;S;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;
27;Barajas Pueblo;C/ Júpiter,21 (Barajas);-3.58003055;40.4769278;621;UF;x;;;;;x;;;;;;;;;;;
35;Pza. del Carmen;Plaza del Carmen esq. Tres Cruce;-3.70317222;40.4192083;659;UF;x;x;x;;;x;;;;;;;;;;
36;Moratalaz;Avd. Moratalaz esq. Camino de los Vinateros;-3.70712777;40.4079472;685;UT;x;x;x;x;;;;;;;;;;;;x;
38;Cuatro Caminos;Avda. Pablo Iglesias esq. C/ Marqués de Lema;-3.707127777;40.4455444;698;UT;x;x;;x;x;;x;;;;;x;;;;x;
39;Barrio del Pilar;Avd. Betanzos esq. C/  Monforte de Lemos;-3.71154166;40.4782278;674;UT;x;;x;;;x;;;;;;;;;;x;
40;Vallecas;C/ Arroyo del Olivar  esq. C/  Río Grande;-3.6515222;40.3881528;677;UF;x;x;;x;;;;;;;;;;;;x;
47;Méndez Álvaro;C/ Juan de Mariana / Pza. Amanecer Mendez Alvaro;-3.6868250;40.3981139;599;UF;x;;;x;x;;;;;;;;;;;;
48;Castellana;C/ Jose Gutierrez Abascal;-3.6903666;40.4398972;676;UT;x;;;x;x;;;;;;;;;;;;
49;Parque del Retiro;Paseo Venezuela - Casa de Vacas;-3.68258333;40.4144444;662;UF;x;;;;;x;;;;;;;;;;;
50;Plaza Castilla;Plaza Castilla (Canal);-3.6887833;40.4655722;728;UT;x;;;x;x;;;;;;;x;;;;;
54;Ensanche de Vallecas;Avda La Gavia / Avda. Las Suertes;-3.6121166;40.3729333;627;UF;x;;;;;x;;;x;x;x;x;;;;x;
55;Urb. Embajada;C/ Riaño (Barajas);-3.5807472;40.4625306;618;UF;x;;;x;;;x;x;;;;;;;;;
56;Pza. Fernández Ladreda;Pza. Fernández Ladreda - Avda. Oporto;-3.7187277;40.3849639;604;UT;x;;x;;;x;;;;x;x;x;x;;;x;
57;Sanchinarro;C/ Princesa de Eboli esq C/ Maria Tudor;-3.66050277;40.4942083;700;UF;x;x;x;x;;;;;;;;x;;;;;
58;El Pardo;Avda. La Guardia;-3.7746111;40.5180583;615;S;x;;;;;x;;;;;;;;;;;
59;Juan Carlos I;Parque Juan Carlos I (frente oficinas mantenimiento);-3.609072;40.46525;660;S;x;;;;;x;;;x;x;x;x;x;x;x;x;
60;Tres Olivos;Plaza Tres Olivos;-3.68976111;40.5005889;715;UF;x;;;x;;x;;;;;;;;x;;x;